,t_add,prev,foll,skip,loop,net_trans,net_places,net_nodes,n_nets_found,n_nodes_used,time_finding_nets,time_conf_tran,f1_tran,precision_tran,fitness_tran
3,Assign seriousness,"{'Start', 'Insert ticket'}","{'Wait', 'Take in charge ticket', 'Resolve ticket'}",True,True,14,12,26,25,8,0.08392901718616486,10.537386372685432,0.9631793000859603,0.9545928485269765,0.971921621944788
0,Create SW anomaly,{'Take in charge ticket'},{'Resolve ticket'},True,False,13,12,25,10,6,0.04462207853794098,3.7728820592164993,0.9713385720183947,0.9711281500536977,0.9715490851904143
2,Insert ticket,{'Start'},{'Assign seriousness'},True,False,12,11,23,4,3,0.011037290096282959,1.3577609211206436,0.9623801330385631,0.9530166707801386,0.9719294144616407
6,Require upgrade,{'Take in charge ticket'},{'Resolve ticket'},True,False,13,12,25,10,6,0.05204492807388306,4.086349368095398,0.9713698234736573,0.971570860131635,0.9711688699951542
7,Resolve ticket,"{'Require upgrade', 'Take in charge ticket', 'Assign seriousness', 'Create SW anomaly'}",{'Closed'},False,True,13,11,24,16,5,0.019404813647270203,6.6197366416454315,0.9636026153101793,0.9510564988168874,0.9764841677070644
1,Start,set(),"{'Insert ticket', 'Take in charge ticket', 'Assign seriousness'}",False,False,13,11,24,3,5,0.05560429394245148,1.2179408967494965,0.9623801330385631,0.9530166707801386,0.9719294144616407
4,Take in charge ticket,"{'Start', 'Assign seriousness'}","{'Require upgrade', 'Resolve ticket', 'Create SW anomaly'}",True,True,13,10,23,10,6,0.017606616020202637,3.687915951013565,0.9764674181893176,0.9936240617685831,0.9598931965287703
5,Wait,{'Assign seriousness'},set(),True,True,12,10,22,54,10,4.317908808588982,19.57227486371994,0.9830057016375674,0.9946258891946622,0.9716538952686965
