,t_add,prev,foll,skip,loop,net_trans,net_places,net_nodes,n_nets_found,n_nodes_used,time_finding_nets,time_conf_tran,f1_tran,precision_tran,fitness_tran
5,A_Accepted,{'A_Concept'},"{'A_Denied', 'A_Complete', 'A_Cancelled'}",False,False,16,11,27,39,16,3.2713677138090134,67.10372321307659,0.9668756412156088,0.9363803554519161,0.9994240846809277
1,A_Cancelled,"{'A_Incomplete', 'A_Validating', 'A_Complete', 'A_Accepted'}",{'End'},True,False,17,12,29,76,19,12.756398037075996,134.67018653452396,0.9668745804505583,0.9363803554519161,0.9994218179129251
8,A_Complete,{'A_Accepted'},"{'A_Denied', 'A_Validating', 'End', 'A_Cancelled'}",True,False,16,11,27,48,17,3.201313227415085,85.06076167523861,0.9668756412156088,0.9363803554519161,0.9994240846809277
7,A_Concept,"{'A_Submitted', 'A_Create Application'}",{'A_Accepted'},False,False,16,11,27,6,6,0.03357383608818054,9.708006873726845,0.9668756412156088,0.9363803554519161,0.9994240846809277
4,A_Create Application,set(),"{'A_Submitted', 'A_Concept'}",False,False,16,11,27,4,6,0.021253064274787903,6.752914860844612,0.9668756412156088,0.9363803554519161,0.9994240846809277
2,A_Denied,"{'A_Validating', 'A_Accepted', 'A_Incomplete', 'A_Complete'}",{'End'},True,True,17,12,29,110,19,12.967240884900093,194.78419737517834,0.9668752596618282,0.9363803554519161,0.9994232693311486
0,A_Incomplete,{'A_Validating'},"{'A_Cancelled', 'End', 'A_Pending', 'A_Denied'}",True,True,15,11,26,142,25,280.57852536439896,256.0304248481989,0.9668772443074583,0.9363803554519161,0.9994275103669399
3,A_Pending,"{'A_Validating', 'A_Incomplete'}",{'End'},True,False,17,12,29,36,12,0.9526168256998062,64.26334647834301,0.9702121390018734,0.9424901365216704,0.9996143692751395
6,A_Submitted,{'A_Create Application'},{'A_Concept'},True,False,15,11,26,4,3,0.00944550335407257,6.710358187556267,0.9668756412156088,0.9363803554519161,0.9994240846809277
9,A_Validating,{'A_Complete'},"{'A_Cancelled', 'End', 'A_Incomplete', 'A_Pending', 'A_Denied'}",True,True,16,11,27,52,15,1.071739822626114,104.92701251804829,0.9719280475610576,0.9999836510925157,0.9454037413725249
