,t_add,prev,foll,skip,loop,net_trans,net_places,net_nodes,n_nets_found,n_nodes_used,time_finding_nets,time_conf_tran,f1_tran,precision_tran,fitness_tran
1,a,set(),"{'b', 'e'}",False,False,9,13,22,3,5,0.018157407641410828,0.4996814429759979,0.8018735947592881,0.675,0.9874814847221615
3,b,{'a'},{'c'},False,False,8,12,20,2,3,0.00505848228931427,0.3026958554983139,0.8327899018075112,0.72,0.9874814847221615
4,c,{'b'},"{'d', 'f'}",False,False,8,12,20,4,7,0.033384278416633606,0.7377125471830368,0.8327899018075112,0.72,0.9874814847221615
5,d,{'c'},{'h'},False,False,7,10,17,3,5,0.009696081280708313,0.46587614715099335,0.840575294079071,0.725,0.999987500156248
2,e,{'a'},{'f'},False,False,7,10,17,3,5,0.01784735918045044,0.6334626972675323,0.840575294079071,0.725,0.999987500156248
7,f,"{'c', 'e'}",{'g'},False,False,7,10,17,3,7,0.03151239454746246,0.5986411869525909,0.8731913670725798,0.782608695652174,0.9874876564042949
0,g,{'f'},{'h'},False,False,8,11,19,2,3,0.005524575710296631,0.39531010389328003,0.9937013172831703,1.0,0.9874814847221615
6,h,"{'d', 'g'}",set(),False,False,9,13,22,2,5,0.008332908153533936,0.31953635811805725,0.82326755587668,0.7058823529411764,0.9874814847221615
