,t_add,prev,foll,skip,loop,net_trans,net_places,net_nodes,n_nets_found,n_nodes_used,time_finding_nets,time_conf_tran,f1_tran,precision_tran,fitness_tran
1,a,set(),"{'e', 'b'}",False,False,9,13,22,3,5,0.012011870741844177,0.45670007169246674,0.8018735947592881,0.675,0.9874814847221615
3,b,{'a'},{'c'},False,False,8,12,20,2,3,0.004381462931632996,0.31400512158870697,0.8327899018075112,0.72,0.9874814847221615
4,c,{'b'},"{'f', 'd'}",False,False,8,12,20,4,7,0.03352883458137512,0.7603146433830261,0.8327899018075112,0.72,0.9874814847221615
6,d,{'c'},{'h'},False,False,7,10,17,3,5,0.009505867958068848,0.582276314496994,0.840575294079071,0.725,0.999987500156248
2,e,{'a'},{'f'},False,False,7,10,17,6,7,0.05098883807659149,1.018236443400383,0.840575294079071,0.725,0.999987500156248
7,f,"{'e', 'c'}",{'g'},False,False,7,10,17,6,9,0.5711040496826172,0.912335991859436,0.7903818387817488,0.6766917293233083,0.9499881251484357
5,g,{'f'},{'h'},False,False,8,11,19,2,3,0.005482196807861328,0.3024597018957138,0.9937013172831703,1.0,0.9874814847221615
0,h,"{'d', 'g'}",set(),False,False,9,13,22,2,5,0.006785199046134949,0.37130269408226013,0.82326755587668,0.7058823529411764,0.9874814847221615
