,t_add,prev,foll,skip,loop,time_finding_nets,n_nodes_used,n_nets_found,net_trans,net_places,net_nodes,f1_tran,precision_tran,fitness_tran,time_conf_tran,time_conf_approx,f1_approx_best,precision_approx_best,fitness_approx_best,f1_approx,f1_complete,precision_approx,precision_complete,fitness_approx,fitness_complete
2,A_Accepted,{'A_Concept'},"{'A_Denied', 'A_Complete', 'A_Cancelled'}",False,False,0.005178555846214294,3,2,11,9,20,0.9729565709280964,0.9990457289718205,0.9481953243154462,3.5100088119506836,2.06207537651062,0.9729565709280964,0.9990457289718205,0.9481953243154462,"[0.9762263919241604, 0.9762263919241604]","[0.9729565709280964, 0.9729565709280964]","[0.9988577775914825, 0.9988577775914825]","[0.9990457289718205, 0.9990457289718205]","[0.9545978159500692, 0.9545978159500692]","[0.9481953243154462, 0.9481953243154462]"
10,A_Cancelled,"{'A_Validating', 'A_Complete', 'A_Incomplete', 'A_Accepted'}",{'End'},True,False,0.12101858854293823,8,22,11,9,20,0.9729555213082671,0.9990457289718205,0.9481933305673504,42.84467601776123,16.132506370544434,0.9729555213082671,0.9990457289718205,0.9481933305673504,"[0.8964361159038106, 0.9536173787568496, 0.8984448491976814, 0.9189312888352895, 0.9014632013694833, 0.9079646532260467, 0.8772739577479572, 0.9166698062685608, 0.8645200921987822, 0.8941799480117747, 0.9755339583974728, 0.9343820518115628, 0.8740138925918304, 0.9227215072103732, 0.8526888040943027, 0.8890720685769483, 0.9642645644582813, 0.9295151215958433, 0.9290634886475212, 0.9168946348681565, 0.9177958867540001, 0.9122077169679297]","[0.9192273714646693, 0.9570831416765437, 0.9288372833357741, 0.9324951415128035, 0.9235335354448283, 0.9277072054867308, 0.9126780381945752, 0.933392490408921, 0.9013711494495338, 0.9201362573220612, 0.9729555213082671, 0.9446934159755731, 0.9124169138587442, 0.9343232778940659, 0.8929578135744818, 0.9159957684478013, 0.9648000123949458, 0.9407066684796416, 0.9433151328254137, 0.9335934094617357, 0.9351671909498078, 0.9296996058531233]","[0.8776896578880589, 0.9268881490401644, 0.9102394707147473, 0.8933575308777082, 0.8988969440493947, 0.9000661722604513, 0.8899533476602848, 0.9144099713055954, 0.8679801588678067, 0.8733764505482806, 0.9985019765587073, 0.9199711475570171, 0.9102394707147473, 0.8979018205001063, 0.8562801345867008, 0.8636843681012275, 0.9868056037173174, 0.9105837152667483, 0.9558984673000902, 0.8866756218553737, 0.9442020944587003, 0.8779521702480159]","[0.9146430055717554, 0.9484009674818598, 0.954835685091154, 0.9222155203612111, 0.9309554140127388, 0.9315873159409805, 0.9351223131045368, 0.9411790100805146, 0.9142808251734956, 0.9164458150628825, 0.9990457289718205, 0.9443138458533591, 0.954835685091154, 0.9239976140691264, 0.9050442057229775, 0.9082683731421141, 0.9898109706951351, 0.9363809602860869, 0.973139741776541, 0.9223924123081955, 0.9639049834998555, 0.9148220856408195]","[0.9160008578018694, 0.9819339986685555, 0.8869519802902054, 0.9460123741167552, 0.9040441534372368, 0.9160029868273575, 0.8649507856457241, 0.9189408386295342, 0.8610875020244231, 0.9159986911622162, 0.9535988239449749, 0.9492516205513694, 0.8405613540269008, 0.9489523254157305, 0.849127472631363, 0.9159974951592769, 0.9427303120239958, 0.9492504245604425, 0.9036940469261506, 0.9492461289384462, 0.8928264848210815, 0.9492449329475193]","[0.9238579242948284, 0.9659257471604288, 0.9042171307723799, 0.943006512749269, 0.9162290601472491, 0.9238592826997634, 0.8912858999872494, 0.9257337517508526, 0.888820967760803, 0.9238565418905247, 0.9481933305673504, 0.9450732913594593, 0.8736067545336723, 0.9448823281842398, 0.8811899821097237, 0.9238557787919597, 0.9410218773462468, 0.9450725282657845, 0.9152642804359075, 0.94506978747411, 0.9080933619938659, 0.9450690243804352]"
5,A_Complete,{'A_Accepted'},"{'A_Validating', 'A_Cancelled', 'A_Denied', 'End'}",True,False,0.01029658317565918,4,8,10,8,18,0.9729565709280964,0.9990457289718205,0.9481953243154462,17.66133761405945,7.750591993331909,0.9729565709280964,0.9990457289718205,0.9481953243154462,"[0.9153251254210595, 0.891169434029772, 0.9755355394849682, 0.9241241889720611, 0.6140314648060069, 0.6294740034596503, 0.9153251254210595, 0.891169434029772]","[0.9353960940259751, 0.9126538362376517, 0.9729565709280964, 0.936031377567231, 0.8412702116392027, 0.857923584701039, 0.9353960940259751, 0.9126538362376517]","[0.9263766038699037, 0.8396650064735867, 0.9985019765587073, 0.9001497394408685, 0.5, 0.5, 0.9263766038699037, 0.8396650064735867]","[0.9558288248630893, 0.8822994171210615, 0.9990457289718205, 0.9270632313874356, 0.8356787113696524, 0.8356787113696524, 0.9558288248630893, 0.8822994171210615]","[0.9045342220034288, 0.9494052463541072, 0.9536018455187448, 0.9494106458993601, 0.7954423856045496, 0.8494329808665688, 0.9045342220034288, 0.9494052463541072]","[0.9158186595733685, 0.9451712840992048, 0.9481953243154462, 0.9451747292288941, 0.8469370410424782, 0.8813851135645406, 0.9158186595733685, 0.9451712840992048]"
4,A_Concept,"{'A_Create Application', 'A_Submitted'}",{'A_Accepted'},False,False,0.00621052086353302,3,2,13,11,24,0.9729565709280964,0.9990457289718205,0.9481953243154462,3.5418126583099365,2.778472661972046,0.9729565709280964,0.9990457289718205,0.9481953243154462,"[0.9729565709280964, 0.9729565709280964]","[0.9729565709280964, 0.9729565709280964]","[0.9990457289718205, 0.9990457289718205]","[0.9990457289718205, 0.9990457289718205]","[0.9481953243154462, 0.9481953243154462]","[0.9481953243154462, 0.9481953243154462]"
1,A_Create Application,set(),"{'A_Concept', 'A_Submitted'}",False,False,0.01947733759880066,4,4,13,11,24,0.9729565709280964,0.9990457289718205,0.9481953243154462,7.166726589202881,5.7139599323272705,0.9729565709280964,0.9990457289718205,0.9481953243154462,"[0.0, 0.8830320347735462, 0.9729565709280964, 0.9729565709280964]","[0.0, 0.8830320347735462, 0.9729565709280964, 0.9729565709280964]","[0.0, 0.843970096399764, 0.9990457289718205, 0.9990457289718205]","[0.0, 0.843970096399764, 0.9990457289718205, 0.9990457289718205]","[0.8807906045161719, 0.9258853001808602, 0.9481953243154462, 0.9481953243154462]","[0.8807906045161719, 0.9258853001808602, 0.9481953243154462, 0.9481953243154462]"
9,A_Denied,"{'A_Accepted', 'A_Validating', 'A_Complete', 'A_Incomplete'}",{'End'},True,True,0.12621521949768066,8,42,11,9,20,0.9729561933831805,0.9990457289718205,0.948194607170124,89.07984471321106,41.89157962799072,0.9729561933831805,0.9990457289718205,0.948194607170124,"[0.9312130643225937, 0.9058816070305593, 0.9059525046169606, 0.9223604532204897, 0.905951834943646, 0.9223598071330332, 0.9199160201943418, 0.9272452751393805, 0.9193200974912197, 0.9270451222544791, 0.8874144564880883, 0.9259806779140519, 0.8871284362764719, 0.9256854181067267, 0.8736417340153994, 0.9027428843498259, 0.8736400183214336, 0.9027412605129351, 0.9755349707730131, 0.9343830832238224, 0.9699936888536889, 0.9295167529636473, 0.8568730405971029, 0.9025996840598648, 0.8568695653510444, 0.9025965189753934, 0.9593314176939661, 0.9342509645409951, 0.9539689630013899, 0.9293844131514131, 0.8909597766663285, 0.9300995596814267, 0.89039924297345, 0.9296443375310505, 0.9290645110836696, 0.9168956280463899, 0.9238118778269956, 0.912206752503375, 0.912691069141592, 0.9167684080685528, 0.9076186577720954, 0.91207929540424]","[0.9423241803365423, 0.9255487328684039, 0.9272642269449425, 0.9380111126642323, 0.9272637911536252, 0.9380106864632859, 0.9367923554230658, 0.9403178715096369, 0.9364890544267721, 0.9401496614096241, 0.9194050501411988, 0.9394966598103366, 0.9191997737544865, 0.9392505126093647, 0.9074859274205911, 0.92600795345928, 0.9074847981265586, 0.9260068636481389, 0.9729561933831805, 0.944694094627298, 0.9686012143997902, 0.9407077572928748, 0.8965335877052351, 0.9259140436020377, 0.8965313337767739, 0.925911919172016, 0.9622579230375113, 0.9446056929853683, 0.9579960883706607, 0.9406190493401496, 0.9184295078412235, 0.9415226920004649, 0.9181370727127269, 0.9411333173605847, 0.9433158108509798, 0.9335940722639509, 0.9391113609252559, 0.9296989739425489, 0.932521478306372, 0.9335077357284074, 0.9284108523669571, 0.9296123299530904]","[0.9228677219399919, 0.8765071062970097, 0.907868929535064, 0.9078980136585092, 0.907868929535064, 0.9078980136585092, 0.9986033519553073, 0.9169038960382432, 0.99721059972106, 0.9165216512492381, 0.8908887114452781, 0.9143061052358399, 0.8903146823685685, 0.9137328509556784, 0.8650769981088184, 0.8706528576185784, 0.8650769981088184, 0.8706528576185784, 0.9985019765587073, 0.9199711475570171, 0.9869581461030392, 0.9105837152667483, 0.8647612163911764, 0.8703893632117505, 0.8647612163911764, 0.8703893632117505, 0.9981898883417712, 0.9197181549292331, 0.9866496659845828, 0.9103358587004189, 0.9986033519553073, 0.9218611112746281, 0.99721059972106, 0.9209786590923793, 0.9558984673000902, 0.8866756218553737, 0.9448471823768736, 0.8779521702480159, 0.9555863790831541, 0.8864406080846277, 0.9445387022584172, 0.8777217574380852]","[0.9456864144980595, 0.9139521971789728, 0.9385684519127088, 0.9385809431732732, 0.9385684519127088, 0.9385809431732732, 0.9993158542147527, 0.9428684283569024, 0.9986326439004178, 0.942536381648922, 0.9359668866592912, 0.9411319986624214, 0.9355430674121421, 0.940639667524013, 0.9126243769162583, 0.9148508112918968, 0.9126243769162583, 0.9148508112918968, 0.9990457289718205, 0.9443138458533591, 0.9899042029405892, 0.9363809602860869, 0.9124209993131209, 0.9146695280895516, 0.9124209993131209, 0.9146695280895516, 0.9988442295116869, 0.9441393186803223, 0.989704547252474, 0.9362093528264568, 0.9993158542147527, 0.9448641991182332, 0.9986326439004178, 0.9440879554813277, 0.973139741776541, 0.9223924123081955, 0.9642352622081919, 0.9148220856408195, 0.9729382423164074, 0.9222258933650338, 0.9640356065200767, 0.914658288571332]","[0.9397107151473715, 0.9372932417090867, 0.9040441534372368, 0.9372911126835985, 0.9040428197282021, 0.9372897783370356, 0.8527236289786732, 0.937822587493251, 0.852715846064411, 0.9378130605101254, 0.8839671938102324, 0.9379572467940424, 0.8839649146468486, 0.9379548337497325, 0.8823777569061523, 0.9372889460439454, 0.8823742565574645, 0.9372854450577295, 0.9536007586675528, 0.9492537495554739, 0.9536025682516138, 0.9492538273207533, 0.849127472631363, 0.9372856210155179, 0.8491206472542477, 0.9372787950008745, 0.9233850209682635, 0.9492504245604425, 0.9233838089785545, 0.9492471773974811, 0.8042647599959182, 0.9384865859090475, 0.8042553482512456, 0.9384746392610589, 0.9036959816487284, 0.9492482579425507, 0.9036928007550876, 0.9492428442052195, 0.8734813703338302, 0.9492449329475193, 0.8734762943434705, 0.9492361942819474]","[0.9389857692289283, 0.9374433320503922, 0.9162290601472491, 0.9374419736454571, 0.9162282091865891, 0.9374411222780281, 0.8816319062114983, 0.9377810764766207, 0.8816265966209909, 0.9377749980953592, 0.9034191425629436, 0.9378669943265469, 0.9034176883639189, 0.937865454706041, 0.9024050171114317, 0.9374405912411535, 0.9024027837464682, 0.937438357469421, 0.948194607170124, 0.9450746497556892, 0.9481958012017944, 0.9450747261546375, 0.8811899821097237, 0.9374384697376533, 0.8811856272412598, 0.9374341144624206, 0.9282571262134789, 0.9450725282657845, 0.9282563264970536, 0.9450704832020186, 0.8496568213474748, 0.9382047360377778, 0.8496503377137989, 0.9381971153407808, 0.9152655570386811, 0.9450711458703398, 0.9152634581653383, 0.9450677184288472, 0.8953286877367296, 0.9450690243804352, 0.8953252068119127, 0.9450634754762283]"
7,A_Incomplete,{'A_Validating'},"{'End', 'A_Cancelled', 'A_Pending', 'A_Denied'}",True,True,0.014413967728614807,7,10,9,7,16,0.9776549064510041,0.9960951069054321,0.9598850444073396,21.66168236732483,7.888336896896362,0.9776549064510041,0.9960951069054321,0.9598850444073396,"[0.935162918441927, 0.9713883876012274, 0.9244606793776914, 0.9743726551572692, 0.9191387816437478, 0.9713662164584507, 0.9057388814529661, 0.9351557663995684, 0.9057145283399298, 0.9351317006896104]","[0.9623620017922684, 0.970687759398232, 0.956123147818984, 0.9776549064510041, 0.9465654845942464, 0.9706785353940443, 0.9483842263372563, 0.9623589950070874, 0.9483724720022355, 0.9623463266641682]","[0.9998775947365737, 0.987771892723518, 0.999566891527093, 0.9939783869732929, 0.9872087925851704, 0.987771892723518, 0.9999028976946295, 0.9998775947365737, 0.9998412629695369, 0.9998389259201357]","[0.9999266673999927, 0.9817301785068354, 0.999477831783509, 0.9960951069054321, 0.9788163703224433, 0.9817301785068354, 0.9999553241234841, 0.9999266673999927, 0.9999288394665806, 0.9999058073682187]","[0.8783160229716972, 0.9555394994130645, 0.8598524374187284, 0.9555253896844258, 0.8598503862793289, 0.9554965932223021, 0.8277838590887587, 0.8783034051550609, 0.8277854195850771, 0.8782907854213319]","[0.9275175595875279, 0.9598909857074472, 0.9163733162028069, 0.9598850444073396, 0.9163720675933348, 0.9598729459716667, 0.9018716379169588, 0.9275119736189911, 0.9018719227436014, 0.9275063867620643]"
8,A_Pending,"{'A_Validating', 'A_Incomplete'}",{'End'},True,False,0.07406172156333923,8,22,9,7,16,0.9729548373586897,0.9990457289718205,0.948192031410433,46.51590895652771,17.60006546974182,0.9729548373586897,0.9990457289718205,0.948192031410433,"[0.833736593541786, 0.8303120020968968, 0.8192251305118963, 0.8497503883222628, 0.8318745118339842, 0.8434620467894673, 0.7908956603633, 0.8606575713521786, 0.0, 0.7931349307084599, 0.9615698730175972, 0.9084132802820322, 0.8009642798675253, 0.8432880116379164, 0.9351964195964025, 0.908254632335428, 0.9454348433762919, 0.90260520815404, 0.0, 0.80846998822889, 0.9189632841342523, 0.9024485822128063]","[0.9113381125040668, 0.9025825006240908, 0.9125013348749857, 0.9235584011505314, 0.9151229807580299, 0.91936047479073, 0.9066763839041496, 0.9249248374266023, 0.8573482521345562, 0.8889266213507626, 0.9729548373586897, 0.9446927253328924, 0.9039883260440089, 0.9192661714164467, 0.962256539081346, 0.9446043239410731, 0.964799329573635, 0.9407059836527835, 0.8456648952327651, 0.8920014672445187, 0.9541176909998546, 0.9406183267838994]","[0.843401525166745, 0.7884440500462033, 0.8767768955506676, 0.8768288852531256, 0.8613798699014646, 0.8635385695026685, 0.8239513712837059, 0.8709903440727367, 0.0, 0.7642604971969338, 0.998084333662958, 0.9009348835273598, 0.8609577766000853, 0.8631799008703839, 0.9976852365094077, 0.9006282124500286, 0.983127059230452, 0.8895824927900061, 0.0, 0.7703551050940933, 0.9827279620769016, 0.8892835002651489]","[0.9126474778351015, 0.8766279461107769, 0.9374780456961759, 0.9374909762084076, 0.9282045477608561, 0.9288788020553427, 0.9287558986337008, 0.9298310321028049, 0.859481214602336, 0.8687828621435338, 0.9990457289718205, 0.9443138458533591, 0.9279976894314909, 0.928688499242354, 0.9988442295116869, 0.9441393186803223, 0.9898109706951351, 0.9363809602860869, 0.859481214602336, 0.8655998966545304, 0.9896094712350016, 0.9362093528264568]","[0.8242906622129266, 0.8768758596651274, 0.7687633880717859, 0.8242942810531884, 0.8043235382985607, 0.8242978370682111, 0.7603899400955807, 0.8505670847808438, 0.7058737352887343, 0.8242768341974104, 0.9276328478835797, 0.9160168681766163, 0.7487870916724956, 0.8242922834235484, 0.880074038839011, 0.9160113146251198, 0.9105260842429679, 0.9160148705804879, 0.651152939001263, 0.850552815961136, 0.8629691991181885, 0.9160093170289914]","[0.9100324988547074, 0.9301208331340801, 0.888820967760803, 0.910033881259011, 0.9024050171114317, 0.9100352396639461, 0.8856222936883282, 0.9200701454519314, 0.8552258501450278, 0.9100266670020049, 0.948192031410433, 0.9450719089640147, 0.8811899821097237, 0.9100331181604459, 0.9282545504537879, 0.94506978747411, 0.9410205781893293, 0.9450711458703398, 0.8322857480147146, 0.9200642492739696, 0.9210835537779287, 0.9450690243804352]"
3,A_Submitted,{'A_Create Application'},{'A_Concept'},True,False,0.007182389497756958,3,4,13,11,24,0.9828815750087017,0.9988446185505665,0.9674207325609714,7.691757440567017,6.035019397735596,0.9828815750087017,0.9988446185505665,0.9674207325609714,"[0.9729565709280964, 0.9828815750087017, 0.9729565709280964, 0.9828815750087017]","[0.9729565709280964, 0.9828815750087017, 0.9729565709280964, 0.9828815750087017]","[0.9990457289718205, 0.9988446185505665, 0.9990457289718205, 0.9988446185505665]","[0.9990457289718205, 0.9988446185505665, 0.9990457289718205, 0.9988446185505665]","[0.9481953243154462, 0.9674207325609714, 0.9481953243154462, 0.9674207325609714]","[0.9481953243154462, 0.9674207325609714, 0.9481953243154462, 0.9674207325609714]"
