,t_add,prev,foll,skip,loop,time_finding_nets,n_nodes_used,n_nets_found,net_trans,net_places,net_nodes,f1_tran,precision_tran,fitness_tran,time_conf_tran,time_conf_approx,f1_approx_best,precision_approx_best,fitness_approx_best,f1_approx,f1_complete,precision_approx,precision_complete,fitness_approx,fitness_complete
7,O_Accepted,{'O_Returned'},{'End'},True,False,0.027522429823875427,8,18,8,6,14,0.971770052626826,0.9894105446854,0.9547475768329982,11.665762424468994,3.2766191959381104,0.9634526190866886,0.9321928497068761,0.9968816354461421,"[0.8366243623613735, 0.9347304710066362, 0.9147762470917606, 0.9322492078657135, 0.9179255259281968, 0.9347254741818771, 0.82668904278745, 0.9066440713259563, 0.9131743000145736, 0.9469932782147233, 0.898125693481071, 0.9281124836445225, 0.8007469042780168, 0.8994854501324774, 0.8297079108510823, 0.9059918307624377, 0.8098559460204094, 0.8997778089912974]","[0.8882152617258906, 0.956377645253619, 0.9657329029325564, 0.971770052626826, 0.9499657774414582, 0.9563757015736556, 0.9283854741166259, 0.9556255243811185, 0.9501468474121509, 0.9634526190866886, 0.9396051230099669, 0.9519201790930466, 0.917262001894454, 0.9507628169672425, 0.9049937522794507, 0.9377294866963817, 0.894632488004125, 0.9334456178441208]","[0.7191828958213186, 0.8775127059735168, 0.9824478107429119, 0.982750575899303, 0.848989870607904, 0.8775127059735168, 0.9218731307572676, 0.9275346237334683, 0.8707256860287993, 0.8993917839738143, 0.8324997541409686, 0.8659304885145526, 0.9043209415001794, 0.9126760178926645, 0.7755904129026819, 0.8282049075861624, 0.7591002964357465, 0.8178800825259088]","[0.8009126892206972, 0.9190317098156081, 0.9892972079472155, 0.9894105446854, 0.9073394821331036, 0.9190317098156081, 0.9545316027869738, 0.9565090658558075, 0.9202783870579634, 0.9321928497068761, 0.8970460893544648, 0.9108391339460832, 0.9438288107341893, 0.9468162076028057, 0.8636103253653533, 0.8852068418426555, 0.8533169325867145, 0.8776037276171597]","[0.999907771609455, 0.9999304201835026, 0.8558264357264087, 0.8866844638341199, 0.9990452691780346, 0.9999189838126528, 0.7493210824372469, 0.886673813298791, 0.9599738368741845, 0.9999151013705766, 0.974983634308639, 0.9999158977884463, 0.7184599682181136, 0.8866707271873691, 0.8919440880277409, 0.999905247554108, 0.8678852750948891, 0.9999021615299016]","[0.9968789079812842, 0.9968873357033847, 0.9432650488417755, 0.9547475768329982, 0.996794624715944, 0.9968831120611766, 0.9036335242320662, 0.9547436136805372, 0.982019159918419, 0.9968816354461421, 0.9864035920872462, 0.9968819637056172, 0.8921498478732077, 0.9547424653129013, 0.9505429101526792, 0.9968780005948336, 0.9401524085062348, 0.996876852239274]"
6,O_Cancelled,"{'O_Sent (mail and online)', 'O_Created', 'O_Returned', 'O_Sent (online only)'}",{'End'},True,False,0.09978987276554108,8,24,11,8,19,0.956377645253619,0.9190317098156081,0.9968873357033847,16.70173215866089,6.934053421020508,0.956377645253619,0.9190317098156081,0.9968873357033847,"[0.8738141272365131, 0.9519938271150646, 0.8446645983671639, 0.8916278541061722, 0.8626815628269208, 0.8911994481477732, 0.8982241423930835, 0.9058934638686169, 0.8659169840412402, 0.913023192137533, 0.9427719815738016, 0.9091332473798412, 0.9442394627153023, 0.9519908700503819, 0.8494711527297596, 0.8859088828738784, 0.8996783630656012, 0.9342012911485494, 0.9321757374017112, 0.9471374539921286, 0.899911236186311, 0.9122739376195921, 0.8876149364086278, 0.9295271237774912]","[0.8841247174498676, 0.956377645253619, 0.8617684737058183, 0.9006790514362778, 0.8829025155006968, 0.9054161920752344, 0.9128315764325219, 0.9188846299617197, 0.8872682243172301, 0.9245810600463251, 0.9496595097576749, 0.9177042891598237, 0.9499654085794627, 0.9563752884827419, 0.8717892695771164, 0.9005564112891402, 0.9116811749401265, 0.940024900298157, 0.9396047545071351, 0.9519197698412043, 0.914690816342023, 0.9197981352130227, 0.9013188792186309, 0.9357200814482173]","[0.7783034381561971, 0.9116629165440733, 0.7694910929515804, 0.8070258936484767, 0.8479195039412323, 0.8543899595973565, 0.8803985596962569, 0.8818118328354557, 0.8576438272546925, 0.8885114947199342, 0.9028423131870145, 0.8416020816836365, 0.8975603290205233, 0.9116629165440733, 0.8359616813173207, 0.8447187225314972, 0.8552717168518695, 0.8795871395691269, 0.8861805980004467, 0.9028036011864211, 0.8664025695205212, 0.8415006086135919, 0.843891985831793, 0.8713374456041255]","[0.7942864616607391, 0.9190317098156081, 0.7897263238705041, 0.8214133363852965, 0.8631013882342561, 0.868366825251887, 0.8923381264061705, 0.8934846678473882, 0.8741572124269854, 0.8989012942142921, 0.9133411413434134, 0.8545953020543973, 0.9073394821331036, 0.9190317098156081, 0.8523372905400856, 0.8594712244920507, 0.8690878490894477, 0.8893067143275535, 0.8970460893544648, 0.9108391339460832, 0.8834049657230135, 0.8537834301225276, 0.858794456310809, 0.8816333139768615]","[0.9960453453234515, 0.9960582912255447, 0.9361161183913684, 0.9960450266144222, 0.8779667362423725, 0.9313234445547883, 0.9167864775895922, 0.931327326528923, 0.8743513075023497, 0.9389256845811673, 0.9863969913768639, 0.9884474635591423, 0.9960402080627186, 0.9960518169587619, 0.8634244330727248, 0.9313219903244714, 0.9489488276860121, 0.996046480825373, 0.9832067955442233, 0.996050362747811, 0.9361161183913684, 0.9960450266144222, 0.9361161183913684, 0.9960450266144222]","[0.996877112663191, 0.9968873357033847, 0.9482740088035178, 0.996876852239274, 0.9036335242320662, 0.9457679208737667, 0.9342884583759585, 0.9457709863671812, 0.9007785147425382, 0.9517712109335908, 0.9889858362888472, 0.9908772386566395, 0.9967938124669611, 0.99688221441157, 0.8921498478732077, 0.9457667725061308, 0.9586645877327318, 0.9968780005948336, 0.9864027798382632, 0.9968810660560106, 0.9482740088035178, 0.996876852239274, 0.9482740088035178, 0.996876852239274]"
1,O_Create Offer,set(),{'O_Created'},False,False,0.002606317400932312,3,2,3,4,7,0.9499675089779759,0.9073394821331036,0.9967984376384175,1.2468316555023193,0.521507740020752,0.9499675089779759,0.9073394821331036,0.9967984376384175,"[0.9999750006249843, 0.9999750006249843]","[0.9499675089779759, 0.9499675089779759]","[1.0, 1.0]","[0.9073394821331036, 0.9073394821331036]","[0.999950002499875, 0.999950002499875]","[0.9967984376384175, 0.9967984376384175]"
3,O_Created,{'O_Create Offer'},"{'O_Cancelled', 'O_Sent (mail and online)', 'O_Refused', 'O_Sent (online only)'}",False,False,0.004763349890708923,4,2,11,8,19,0.9499675089779759,0.9073394821331036,0.9967984376384175,1.2600948810577393,0.648874044418335,0.9499675089779759,0.9073394821331036,0.9967984376384175,"[0.9499675089779759, 0.9499675089779759]","[0.9499675089779759, 0.9499675089779759]","[0.9073394821331036, 0.9073394821331036]","[0.9073394821331036, 0.9073394821331036]","[0.9967984376384175, 0.9967984376384175]","[0.9967984376384175, 0.9967984376384175]"
8,O_Refused,"{'O_Sent (mail and online)', 'O_Created', 'O_Returned', 'O_Sent (online only)'}",{'End'},True,False,0.09496143460273743,8,24,11,8,19,0.9705014067112239,0.9938948922129723,0.9481838308058279,16.113809823989868,6.884627819061279,0.9705014067112239,0.9938948922129723,0.9481838308058279,"[0.9013566588705266, 0.9519938271150646, 0.8372538031144631, 0.9057462538085734, 0.8893203335568323, 0.9165253625269433, 0.8807721982076376, 0.9136637465414262, 0.8938802063722128, 0.937431586045237, 0.9636767466234415, 0.9416836718235545, 0.9442414528456933, 0.9519931622783683, 0.8330312822269654, 0.8941685599435395, 0.8996803535551097, 0.934203498532111, 0.8918187277274738, 0.9317101814658908, 0.9259866074830922, 0.9423315367838965, 0.8472577216490405, 0.9146637016928366]","[0.9096967744434469, 0.956377645253619, 0.8574391388350666, 0.9137610381065929, 0.9039202680130598, 0.9256029000640816, 0.8967934376171633, 0.922994171308143, 0.908911915535692, 0.9436930141781602, 0.9705014067112239, 0.947795658737787, 0.9499670370977745, 0.9563771122705793, 0.8564743496129905, 0.9051792876502549, 0.9116827965272993, 0.9400266622741876, 0.9049950094528991, 0.9377308429354118, 0.9395368993981357, 0.9475041883702296, 0.86670725678059, 0.9220064985445239]","[0.8231013263005007, 0.9116629165440733, 0.7889709429442979, 0.8304590608996113, 0.8536057901205447, 0.8596109842541246, 0.8474804782063537, 0.8545910758669665, 0.8592117656208145, 0.8880921472873009, 0.9930349432246313, 0.9020298116722547, 0.8975603290205233, 0.9116629165440733, 0.804705093667366, 0.8211054453486415, 0.8552717168518695, 0.8795871395691269, 0.8492161093396762, 0.8751778007168924, 0.9628620866444502, 0.8941148139613577, 0.8069274971710224, 0.8455763401341312]","[0.836533010746042, 0.9190317098156081, 0.808709953922264, 0.8434383452126798, 0.8677263039820527, 0.8726483763807351, 0.8621918115535614, 0.8680230746919615, 0.8747257647830723, 0.8981207818681296, 0.9938948922129723, 0.9106144226693188, 0.9073394821331036, 0.9190317098156081, 0.8235423443634324, 0.8370408123097832, 0.8690878490894477, 0.8893067143275535, 0.8636103253653533, 0.8852068418426555, 0.9683180766694344, 0.9027913305990516, 0.8253586923216973, 0.8575967643528434]","[0.9960553827649108, 0.9960582912255447, 0.8918314441523867, 0.9960450266144222, 0.9281539435390294, 0.9815106518514451, 0.9167864775895922, 0.9815095151048503, 0.9314639597527528, 0.9925757874994783, 0.9360046014521762, 0.9849842677682761, 0.9960446370250836, 0.9960568356126567, 0.8634244330727248, 0.9815041789003985, 0.948953256648377, 0.9960514994792679, 0.9389216008564968, 0.996050362747811, 0.8918314441523867, 0.9960450266144222, 0.8918314441523867, 0.9960450266144222]","[0.996885038968113, 0.9968873357033847, 0.9124172541395189, 0.996876852239274, 0.9432650488417755, 0.9853994454834759, 0.9342884583759585, 0.9853985478244294, 0.9458788820494552, 0.9941372936198078, 0.9481838308058279, 0.9881424358843526, 0.9967973985351546, 0.9968861775223536, 0.8921498478732077, 0.985394333963379, 0.9586681738009252, 0.9968819637056172, 0.9505456839718898, 0.9968810660560106, 0.9124172541395189, 0.996876852239274, 0.9124172541395189, 0.996876852239274]"
5,O_Returned,"{'O_Sent (mail and online)', 'O_Sent (online only)'}","{'O_Refused', 'End', 'O_Accepted', 'O_Cancelled'}",True,False,0.004576325416564941,6,8,8,6,14,0.9781782470715119,1.0,0.9572885332183464,6.286581039428711,1.8626341819763184,0.9781782470715119,1.0,0.9572885332183464,"[0.9661603094547668, 0.9369721394946204, 0.9588532073481528, 0.9342327552738167, 0.8669032608760302, 0.8666233150725113, 0.9661603094547668, 0.9369721394946204]","[0.9781782470715119, 0.9499675089779759, 0.974312603487979, 0.948225402521628, 0.9081393846861179, 0.9072372689662983, 0.9781782470715119, 0.9499675089779759]","[1.0, 0.8854734958671335, 0.9908652740643218, 0.8835051460058787, 0.8262997878343796, 0.8229018582722609, 1.0, 0.8854734958671335]","[1.0, 0.9073394821331036, 0.9934173974351893, 0.906055210263175, 0.8737797415642831, 0.8702489436915299, 1.0, 0.9073394821331036]","[0.9345359036711262, 0.994830951629224, 0.9288448460120611, 0.9911403831626228, 0.9117033732349442, 0.9152513783046607, 0.9345359036711262, 0.994830951629224]","[0.9572885332183464, 0.9967984376384175, 0.9559287678661701, 0.9945126360021226, 0.9453118865366168, 0.9475094076756475, 0.9572885332183464, 0.9967984376384175]"
4,O_Sent (mail and online),{'O_Created'},"{'O_Refused', 'O_Returned', 'End', 'O_Cancelled'}",True,False,0.011672139167785645,6,10,11,8,19,0.9499635181316701,0.9073394821331036,0.9967896496355934,6.3460352420806885,2.888071298599243,0.9499635181316701,0.9073394821331036,0.9967896496355934,"[0.812210032911909, 0.8762023916208445, 0.9442371524917819, 0.8761975178470202, 0.8831765541846035, 0.8437886413358667, 0.7526547305288604, 0.7606857132120928, 0.9401470542419141, 0.8744835125061221]","[0.8256779985107715, 0.8857367160012007, 0.9499635181316701, 0.8857327835404389, 0.8961423935734214, 0.8553999337066418, 0.7932491841268543, 0.7987068190292501, 0.9466329423388175, 0.8841329162466595]","[0.6840786438957638, 0.7800280039198599, 0.8975603290205233, 0.7800280039198599, 0.7968390245899123, 0.7300996227875036, 0.6631069670593819, 0.6719410935296882, 0.8946684300591107, 0.7773157198292655]","[0.7033435072929136, 0.7951936090104998, 0.9073394821331036, 0.7951936090104998, 0.8169707781058202, 0.7475935990110578, 0.7107144383128514, 0.716370990096515, 0.9049797245452538, 0.7926186038928865]","[0.9994033300752999, 0.9994279277848614, 0.9960350667707898, 0.9994152458252628, 0.9904969221519695, 0.9994146182999408, 0.8701640431887139, 0.8764387524434709, 0.9904969221519695, 0.9994146182999408]","[0.9995288253704804, 0.9995482495381984, 0.9967896496355934, 0.9995382336331098, 0.9923054750473976, 0.9995377380913923, 0.8974719416608303, 0.9024269154010257, 0.9923054750473976, 0.9995377380913923]"
2,O_Sent (online only),{'O_Created'},"{'O_Refused', 'O_Returned', 'End', 'O_Cancelled'}",True,False,0.014077886939048767,6,10,11,8,19,0.9499673053509278,0.9073394821331036,0.9967979892415675,6.198649644851685,2.796586751937866,0.9499673053509278,0.9073394821331036,0.9967979892415675,"[0.8406199883028003, 0.8762023916208445, 0.9442417806642172, 0.8762020031675756, 0.9223197656374335, 0.8744835125061221, 0.695708820152891, 0.8258544762561812, 0.8249195998808013, 0.8437886413358667]","[0.8524244383227245, 0.8857367160012007, 0.9499673053509278, 0.8857364021155468, 0.9393568365560397, 0.8841329162466595, 0.741968090442385, 0.8403726441403828, 0.8590872132432874, 0.8553999337066418]","[0.7253616317954106, 0.7800280039198599, 0.8975603290205233, 0.7800280039198599, 0.9599711539411422, 0.7773157198292655, 0.5795229127012534, 0.7068001574094098, 0.7705755265168799, 0.7300996227875036]","[0.7430546294728546, 0.7951936090104998, 0.9073394821331036, 0.7951936090104998, 0.9719044251223807, 0.7926186038928865, 0.6323939707662882, 0.7275636643942227, 0.8144358775978444, 0.7475935990110578]","[0.9994266727175037, 0.9994279277848614, 0.996045366575201, 0.9994269169909364, 0.8875103881768371, 0.9994146182999408, 0.8701640431887139, 0.9931402921416448, 0.8875103881768371, 0.9994146182999408]","[0.999547258444341, 0.9995482495381984, 0.9967979892415675, 0.9995474500731172, 0.9089185483983734, 0.9995377380913923, 0.8974719416608303, 0.9945830681672154, 0.9089185483983734, 0.9995377380913923]"
