,t_add,prev,foll,skip,loop,time_finding_nets,n_nodes_used,n_nets_found,net_trans,net_places,net_nodes,f1_tran,precision_tran,fitness_tran,time_conf_tran,time_conf_approx,f1_approx_best,precision_approx_best,fitness_approx_best,f1_approx,f1_complete,precision_approx,precision_complete,fitness_approx,fitness_complete
2,Assign seriousness,"{'Insert ticket', 'Start'}","{'Take in charge ticket', 'Resolve ticket', 'Wait'}",True,True,0.09351478517055511,8,25,16,14,30,0.9631793000859603,0.9545928485269765,0.971921621944788,8.027272462844849,6.8412275314331055,0.9631793000859603,0.9545928485269765,0.971921621944788,"[0.9212586169112587, 0.806603749930236, 0.8032295879676753, 0.8076184513814951, 0.804235188506065, 0.9630626749908059, 0.9226849304174822, 0.9586696671221608, 0.9236765272430447, 0.9631793000859603, 0.9207308186067091, 0.9260136420922251, 0.8912145780926195, 0.9178119779940571, 0.9212548063171577, 0.9182590484364577, 0.9216868649031784, 0.962376312950637, 0.9212548063171577, 0.9575372452084411, 0.9219203624941854, 0.962376312950637, 0.9212548063171577, 0.9575372452084411, 0.9219203624941854]","[0.9212586169112587, 0.806603749930236, 0.8032295879676753, 0.8076184513814951, 0.804235188506065, 0.9630626749908059, 0.9226849304174822, 0.9586696671221608, 0.9236765272430447, 0.9631793000859603, 0.9207308186067091, 0.9260136420922251, 0.8912145780926195, 0.9178119779940571, 0.9212548063171577, 0.9182590484364577, 0.9216868649031784, 0.962376312950637, 0.9212548063171577, 0.9575372452084411, 0.9219203624941854, 0.962376312950637, 0.9212548063171577, 0.9575372452084411, 0.9219203624941854]","[0.8766245891843442, 0.7401675977653631, 0.7345049340281627, 0.7373253937336524, 0.7317059700668249, 0.955632173479109, 0.8803914530237479, 0.9413242771048861, 0.8768273508848226, 0.9545928485269765, 0.8756761798171983, 0.8792927347922911, 0.8191089723688296, 0.8694094770238461, 0.8766245891843442, 0.8654135607798166, 0.8721097429964466, 0.9530166707801386, 0.8766245891843442, 0.9379333113238693, 0.8725279449699054, 0.9530166707801386, 0.8766245891843442, 0.9379333113238693, 0.8725279449699054]","[0.8766245891843442, 0.7401675977653631, 0.7345049340281627, 0.7373253937336524, 0.7317059700668249, 0.955632173479109, 0.8803914530237479, 0.9413242771048861, 0.8768273508848226, 0.9545928485269765, 0.8756761798171983, 0.8792927347922911, 0.8191089723688296, 0.8694094770238461, 0.8766245891843442, 0.8654135607798166, 0.8721097429964466, 0.9530166707801386, 0.8766245891843442, 0.9379333113238693, 0.8725279449699054, 0.9530166707801386, 0.8766245891843442, 0.9379333113238693, 0.8725279449699054]","[0.9706816326950503, 0.8861423402944723, 0.8861423402944723, 0.892726724682833, 0.8927251868557563, 0.97060963348491, 0.9692469737356472, 0.9766662896709487, 0.9758146265942015, 0.971921621944788, 0.9706731718996068, 0.9779781646739867, 0.9772403844713152, 0.971921621944788, 0.9706731718996068, 0.9779781646739867, 0.9772403844713152, 0.971921621944788, 0.9706731718996068, 0.9779781646739867, 0.9772403844713152, 0.971921621944788, 0.9706731718996068, 0.9779781646739867, 0.9772403844713152]","[0.9706816326950503, 0.8861423402944723, 0.8861423402944723, 0.892726724682833, 0.8927251868557563, 0.97060963348491, 0.9692469737356472, 0.9766662896709487, 0.9758146265942015, 0.971921621944788, 0.9706731718996068, 0.9779781646739867, 0.9772403844713152, 0.971921621944788, 0.9706731718996068, 0.9779781646739867, 0.9772403844713152, 0.971921621944788, 0.9706731718996068, 0.9779781646739867, 0.9772403844713152, 0.971921621944788, 0.9706731718996068, 0.9779781646739867, 0.9772403844713152]"
1,Create SW anomaly,{'Take in charge ticket'},{'Resolve ticket'},True,False,0.02508816123008728,6,10,11,11,22,0.9713385720183947,0.9711281500536977,0.9715490851904143,2.654433012008667,1.1228783130645752,0.9713385720183947,0.9711281500536977,0.9715490851904143,"[0.8866617714050069, 0.9540702360503297, 0.8889690907415368, 0.9552019558359994, 0.9657618272259215, 0.9663975411350127, 0.9019735255440449, 0.9546357330944222, 0.8874349029235851, 0.9546357330944222]","[0.9175916453090809, 0.9615049019630582, 0.9191323179155525, 0.9623763502324277, 0.9709149903326144, 0.9713385720183947, 0.9293484657485591, 0.9619404101065374, 0.9181239400312208, 0.9619404101065374]","[0.9084214754317848, 0.9401120709782862, 0.9121486167416581, 0.942312192838755, 0.964759222367246, 0.9649038790449477, 0.9411596031427425, 0.9412108461898083, 0.9100460499843519, 0.9412108461898083]","[0.9357337117181034, 0.9513090998678582, 0.9381717255226172, 0.9530166707801386, 0.9710413587514717, 0.9711281500536977, 0.9605164287178086, 0.9521621197516197, 0.9368414821830235, 0.9521621197516197]","[0.8659201157537264, 0.9684491311348168, 0.8669384458688781, 0.9684492440764285, 0.9667665181226786, 0.9678958347442379, 0.8659201157537264, 0.9684491311348168, 0.8659201157537264, 0.9684491311348168]","[0.900139678347254, 0.971921621944788, 0.900850316965142, 0.9719216979948224, 0.970788654799894, 0.9715490851904143, 0.900139678347254, 0.971921621944788, 0.900139678347254, 0.971921621944788]"
3,Insert ticket,{'Start'},{'Assign seriousness'},True,False,0.008691489696502686,3,4,14,13,27,0.9623801330385631,0.9530166707801386,0.9719294144616407,1.1687853336334229,0.7633709907531738,0.9623801330385631,0.9530166707801386,0.9719294144616407,"[0.9340095210938745, 0.9623801330385631, 0.9340095210938745, 0.9623801330385631]","[0.9340095210938745, 0.9623801330385631, 0.9340095210938745, 0.9623801330385631]","[0.9695196024295969, 0.9530166707801386, 0.9695196024295969, 0.9530166707801386]","[0.9695196024295969, 0.9530166707801386, 0.9695196024295969, 0.9530166707801386]","[0.9010087504717331, 0.9719294144616407, 0.9010087504717331, 0.9719294144616407]","[0.9010087504717331, 0.9719294144616407, 0.9010087504717331, 0.9719294144616407]"
6,Require upgrade,{'Take in charge ticket'},{'Resolve ticket'},True,False,0.024694636464118958,6,10,11,11,22,0.9713698234736573,0.971570860131635,0.9711688699951542,2.5630245208740234,1.29408860206604,0.9713698234736573,0.971570860131635,0.9711688699951542,"[0.8866575083059745, 0.9537877386912724, 0.8889690642111678, 0.9552019283677692, 0.9660940034969587, 0.9664115075851892, 0.9013523048351596, 0.9540702360503297, 0.888200549572023, 0.9549187330772848]","[0.9175636738953075, 0.9612872957365614, 0.9191322995923129, 0.9623763315915326, 0.971158240879284, 0.9713698234736573, 0.9289610153162491, 0.9615049019630582, 0.9186267987996971, 0.9621583121574813]","[0.9078578734379864, 0.9395636448489091, 0.9121486167416581, 0.942312192838755, 0.9654224238674641, 0.965493585785827, 0.9392142327650111, 0.9401120709782862, 0.9110992100682822, 0.9417611975207578]","[0.9352955054854312, 0.9508831628198527, 0.9381717255226172, 0.9530166707801386, 0.9715281084738966, 0.971570860131635, 0.9592892640751582, 0.9513090998678582, 0.9375073903275393, 0.9525892036152415]","[0.8664246938894535, 0.9684491311348168, 0.8669383954054813, 0.9684491876056226, 0.9667665181226786, 0.9673311764334582, 0.8664246938894535, 0.9684491311348168, 0.8664246938894535, 0.9684491311348168]","[0.9004916719644364, 0.971921621944788, 0.9008502817619987, 0.9719216599698052, 0.970788654799894, 0.9711688699951542, 0.9004916719644364, 0.971921621944788, 0.9004916719644364, 0.971921621944788]"
7,Resolve ticket,"{'Require upgrade', 'Assign seriousness', 'Create SW anomaly', 'Take in charge ticket'}",{'Closed'},False,True,0.012769952416419983,5,16,12,11,23,0.9636026153101793,0.9510564988168874,0.9764841677070644,4.757264137268066,3.190898895263672,0.9636026153101793,0.9510564988168874,0.9764841677070644,"[0.9575575388877946, 0.9600548618125505, 0.8199696130396193, 0.8224251409636367, 0.8207198250765394, 0.8228889465523074, 0.955953529626855, 0.9592705119414857, 0.8214684829097878, 0.823351806723409, 0.9564888526999102, 0.9595320629597668, 0.957023467683861, 0.9597934226212113, 0.9575575388877946, 0.9600548618125505]","[0.9623801330385631, 0.9636026153101793, 0.8537043905072557, 0.8557819048942761, 0.854272516189725, 0.856119884352974, 0.961067825592904, 0.9629526128255409, 0.8548397990493789, 0.85645740026012, 0.9615056836163708, 0.9631693484369339, 0.9619430821898326, 0.963385954647098, 0.9623801330385631, 0.9636026153101793]","[0.9495924139078357, 0.9492627599243857, 0.7862728645745931, 0.7857454301526078, 0.7872297637003519, 0.7861757322175732, 0.9477549657820064, 0.9490315229775921, 0.78818410041841, 0.7866043093368966, 0.9483688100928138, 0.9491088357982556, 0.9489812912896242, 0.9491859144263537, 0.9495924139078357, 0.9492627599243857]","[0.9530166707801386, 0.9510564988168874, 0.8265183560499243, 0.8260869565217391, 0.827221033961083, 0.8263588514252957, 0.9515399671533668, 0.95087295303971, 0.8279222471207462, 0.8266298974972683, 0.9520330868304525, 0.9509342877356528, 0.9525253205776011, 0.9509954694708841, 0.9530166707801386, 0.9510564988168874]","[0.9656574161560366, 0.9710951748987259, 0.8566839190189208, 0.8626970631132471, 0.8571859382847384, 0.8631990321771382, 0.9642951747151063, 0.9697328450228586, 0.8576879575505562, 0.8637010012410293, 0.9647491456199475, 0.9701867705306094, 0.9652031165247889, 0.9706406960383602, 0.9656574161560366, 0.9710951748987259]","[0.9719294144616407, 0.9764841677070644, 0.8827396695141947, 0.8876913153654394, 0.8831530674929953, 0.8881046720044421, 0.9707884205919911, 0.975343135889987, 0.8835664654717957, 0.8885180286434448, 0.9711686768613309, 0.9757233541336998, 0.9715489331306707, 0.9761035723774126, 0.9719294144616407, 0.9764841677070644]"
4,Take in charge ticket,"{'Assign seriousness', 'Start'}","{'Require upgrade', 'Create SW anomaly', 'Resolve ticket'}",True,True,0.02332967519760132,7,18,14,11,25,0.9764714002775791,0.9936240617685831,0.9599008926677531,4.779900550842285,3.9977962970733643,0.9764714002775791,0.9936240617685831,0.9599008926677531,"[0.8937640508681161, 0.8860706171917393, 0.9609614754191039, 0.8888714846789836, 0.9621562592632462, 0.8949495165431599, 0.7923276280429893, 0.7970900479955898, 0.7930168575935426, 0.7977603234019272, 0.972577704751019, 0.8860679390393672, 0.9755981206346651, 0.8955430368762106, 0.9764714002775791, 0.8892307461757508, 0.9757617977218835, 0.8954051272238306]","[0.8937640508681161, 0.8860706171917393, 0.9609614754191039, 0.8888714846789836, 0.9621562592632462, 0.8949495165431599, 0.7923276280429893, 0.7970900479955898, 0.7930168575935426, 0.7977603234019272, 0.972577704751019, 0.8860679390393672, 0.9755981206346651, 0.8955430368762106, 0.9764714002775791, 0.8892307461757508, 0.9757617977218835, 0.8954051272238306]","[0.8174523259956934, 0.8271294131750884, 0.9505036470996874, 0.8170661653350044, 0.9499988677279829, 0.8250897226753671, 0.71571189279732, 0.7148673452361087, 0.7153524192198225, 0.7145096731154102, 0.9928728954870636, 0.8271294131750884, 0.9892192492499817, 0.8360932684810456, 0.9936240617685831, 0.8268897174645584, 0.9895373509255421, 0.8356210058349541]","[0.8174523259956934, 0.8271294131750884, 0.9505036470996874, 0.8170661653350044, 0.9499988677279829, 0.8250897226753671, 0.71571189279732, 0.7148673452361087, 0.7153524192198225, 0.7145096731154102, 0.9928728954870636, 0.8271294131750884, 0.9892192492499817, 0.8360932684810456, 0.9936240617685831, 0.8268897174645584, 0.9895373509255421, 0.8356210058349541]","[0.9857906869036249, 0.954056650299788, 0.9716519863822245, 0.9745135805390686, 0.9746288472846827, 0.9777335619881011, 0.8873129648513469, 0.9006851686818496, 0.8895989019723255, 0.9029692206916132, 0.9530955968047174, 0.9540504405311484, 0.9623470113142434, 0.9640942139919738, 0.9599008926677531, 0.9617383055943772, 0.9623645230498494, 0.9644028893712067]","[0.9857906869036249, 0.954056650299788, 0.9716519863822245, 0.9745135805390686, 0.9746288472846827, 0.9777335619881011, 0.8873129648513469, 0.9006851686818496, 0.8895989019723255, 0.9029692206916132, 0.9530955968047174, 0.9540504405311484, 0.9623470113142434, 0.9640942139919738, 0.9599008926677531, 0.9617383055943772, 0.9623645230498494, 0.9644028893712067]"
5,Wait,{'Assign seriousness'},set(),True,True,0.0023791640996932983,3,8,3,4,7,0.9764714002775791,0.9936240617685831,0.9599008926677531,1.8983874320983887,0.28502702713012695,0.9764658323656662,0.9928494623655914,0.9606141376223332,"[0.8521059672266682, 0.9772794633786364, 0.8564660583096529, 0.9822002386389339, 0.8521059672266682, 0.9772794633786364, 0.8564660583096529, 0.9822002386389339]","[0.9422324597069681, 0.9764714002775791, 0.9421085907803809, 0.9764658323656662, 0.9422324597069681, 0.9764714002775791, 0.9421085907803809, 0.9764658323656662]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9941706412294647, 0.9936240617685831, 0.992475899365154, 0.9928494623655914, 0.9941706412294647, 0.9936240617685831, 0.992475899365154, 0.9928494623655914]","[0.7423211053445112, 0.9555684357401824, 0.7489642651477781, 0.9650230584898879, 0.7423211053445112, 0.9555684357401824, 0.7489642651477781, 0.9650230584898879]","[0.8954516282444153, 0.9599008926677531, 0.89660656923921, 0.9606141376223332, 0.8954516282444153, 0.9599008926677531, 0.89660656923921, 0.9606141376223332]"
