,t_add,prev,foll,skip,loop,time_finding_nets,n_nodes_used,n_nets_found,net_trans,net_places,net_nodes,f1_tran,precision_tran,fitness_tran,time_conf_tran,time_conf_approx,f1_approx_best,precision_approx_best,fitness_approx_best,f1_approx,f1_complete,precision_approx,precision_complete,fitness_approx,fitness_complete
6,A_Accepted,{'A_Concept'},"{'A_Complete', 'A_Cancelled', 'A_Denied'}",False,False,0.005587741732597351,3,2,15,11,26,0.9668756412156088,0.9363803554519161,0.9994240846809277,3.116665840148926,1.3129446506500244,0.9668756412156088,0.9363803554519161,0.9994240846809277,"[0.9675996558887925, 0.9675996558887925]","[0.9668756412156088, 0.9668756412156088]","[0.9378491763020567, 0.9378491763020567]","[0.9363803554519161, 0.9363803554519161]","[0.999299463315866, 0.999299463315866]","[0.9994240846809277, 0.9994240846809277]"
2,A_Cancelled,"{'A_Validating', 'A_Complete', 'A_Incomplete', 'A_Accepted'}",{'End'},True,False,0.16220803558826447,8,22,15,11,26,0.9668745804505583,0.9363803554519161,0.9994218179129251,40.53752589225769,15.637589931488037,0.9668745804505583,0.9363803554519161,0.9994218179129251,"[0.9286235981465638, 0.898688624398105, 0.9100151414851547, 0.9165957961952066, 0.8572465901169075, 0.9220527226019803, 0.8732058897126641, 0.9037864317689296, 0.9654685056438017, 0.9477625312221273, 0.9094824514991655, 0.9243331111018325, 0.86297443679965, 0.9003266063900538, 0.9559581517676542, 0.9446822930940129, 0.8489646613464419, 0.9259978955978848, 0.9215559800761626, 0.9336475252413181, 0.9120059526145028, 0.9306582070507856]","[0.9345678968809629, 0.9062744630124169, 0.9206881844312749, 0.9250448357546472, 0.8991951070908188, 0.9291945406061214, 0.8942759609946856, 0.9144706303377131, 0.9668745804505583, 0.9478026587702532, 0.9355770338483422, 0.9313000408822495, 0.8869588677398995, 0.9116051599673535, 0.9598689130198853, 0.9452164736768676, 0.8989136651608839, 0.9323653336735682, 0.9345516407600598, 0.9359293661723393, 0.9275389890354732, 0.9334074842248243]","[0.8939980127648528, 0.8164161594538126, 0.8739764164741721, 0.8749138966760113, 0.8290593781325355, 0.8821703111601127, 0.8467212039904375, 0.8518687489033163, 0.9339790437267542, 0.901192188694233, 0.9117421546291742, 0.8888568971319598, 0.8392265249099731, 0.8457430437938543, 0.9266372335505904, 0.8956395980422889, 0.8665309403910997, 0.8891555838869529, 0.8999379453998569, 0.8760112189131799, 0.892596135223693, 0.8707636889002119]","[0.8951307691736635, 0.8288850707360048, 0.8790030050684943, 0.8797346789289493, 0.8740041127883011, 0.8855003749713672, 0.8568784953368215, 0.8608049565189692, 0.9363803554519161, 0.9011025169984206, 0.9322511053052563, 0.8909481232975793, 0.8507946645704881, 0.8557415983849899, 0.9303976449217014, 0.8964394712905297, 0.908568813824963, 0.8911059969817768, 0.9086408698845007, 0.8798811608826251, 0.902658159354286, 0.8754346205538113]","[0.9660394316787232, 0.9994009630037304, 0.9491538337458485, 0.9624479166215602, 0.8874179362815773, 0.9657120059256604, 0.9014009079113967, 0.9624431413289767, 0.9991554138955466, 0.9994083274442939, 0.9072339217780342, 0.9627589155240522, 0.8881054954944434, 0.962441811787735, 0.9871952643754823, 0.9994069979178968, 0.8320964371145156, 0.9660253177054672, 0.9442381815043774, 0.9994022226786308, 0.9322786809407008, 0.9994008931522337]","[0.9776401738202621, 0.9996030501733261, 0.9665238885414359, 0.9752757739264986, 0.9258813332179378, 0.9774246198260743, 0.9350867343118595, 0.9752726302110756, 0.9994218179129251, 0.9996078969340073, 0.9389267787351993, 0.9754805136422756, 0.9263339736507308, 0.9752717549350095, 0.9912683201217853, 0.9996070216643749, 0.8894615647715912, 0.9776308821769484, 0.961983529014803, 0.9996038779720596, 0.9538303260621961, 0.9996030027024272]"
8,A_Complete,{'A_Accepted'},"{'A_Validating', 'A_Denied', 'End', 'A_Cancelled'}",True,False,0.03433103859424591,6,10,14,10,24,0.9668756412156088,0.9363803554519161,0.9994240846809277,17.07270073890686,7.601380348205566,0.9668756412156088,0.9363803554519161,0.9994240846809277,"[0.8494691189460475, 0.919293096525404, 0.965470057956152, 0.9172666170862844, 0.9489344053378306, 0.9192895869365398, 0.6961931481498971, 0.716539507701129, 0.8577656412765647, 0.8661585422086597]","[0.868073101976766, 0.9314298396110248, 0.9668756412156088, 0.9262172969742163, 0.955931735546428, 0.9314275238414403, 0.8237311559201722, 0.8403760043287771, 0.8965621746417978, 0.8867930737325062]","[0.7385600282320376, 0.8769293918254316, 0.9339790437267542, 0.8474744103424767, 0.9325079703512988, 0.8769293918254316, 0.6003728787763488, 0.6003728787763488, 0.814483112260263, 0.7850591841227372]","[0.7670648657074826, 0.8894352826383516, 0.9363803554519161, 0.8627792151125828, 0.9352202644971043, 0.8894352826383516, 0.76886173076782, 0.76886173076782, 0.8585861092670377, 0.8114376027669105]","[0.9995746026476968, 0.9659576813204783, 0.9991587389573707, 0.999585668599409, 0.9659499314826275, 0.9659499314826275, 0.828408131778067, 0.8884455480022977, 0.9059065102857302, 0.965943926509961]","[0.9997173633024686, 0.9775864406344977, 0.9994240846809277, 0.9997246472942762, 0.9775813387079859, 0.9775813387079859, 0.8870338759214216, 0.9265581203550557, 0.9380531410394789, 0.9775773854731131]"
7,A_Concept,"{'A_Create Application', 'A_Submitted'}",{'A_Accepted'},False,False,0.019875705242156982,4,4,18,13,31,0.9668756412156088,0.9363803554519161,0.9994240846809277,6.548905611038208,4.44758415222168,0.9668756412156088,0.9363803554519161,0.9994240846809277,"[0.9668756412156088, 0.9123982002204591, 0.9229595083716283, 0.9668756412156088]","[0.9668756412156088, 0.9123982002204591, 0.9229595083716283, 0.9668756412156088]","[0.9363803554519161, 0.8733994804301985, 0.8773895345080628, 0.9363803554519161]","[0.9363803554519161, 0.8733994804301985, 0.8773895345080628, 0.9363803554519161]","[0.9994240846809277, 0.9550424108036879, 0.9735224461330784, 0.9994240846809277]","[0.9994240846809277, 0.9550424108036879, 0.9735224461330784, 0.9994240846809277]"
4,A_Create Application,set(),"{'A_Submitted', 'A_Concept'}",False,False,0.017890363931655884,4,3,18,13,31,0.9668756412156088,0.9363803554519161,0.9994240846809277,4.196897983551025,4.0847344398498535,0.9668756412156088,0.9363803554519161,0.9994240846809277,"[0.882510042111084, 0.8339265428134809, 0.9668756412156088]","[0.882510042111084, 0.8339265428134809, 0.9668756412156088]","[0.7901158571882823, 0.7420674395174147, 0.9363803554519161]","[0.7901158571882823, 0.7420674395174147, 0.9363803554519161]","[0.9993744011645833, 0.9517406958629686, 0.9994240846809277]","[0.9993744011645833, 0.9517406958629686, 0.9994240846809277]"
10,A_Denied,"{'A_Validating', 'A_Incomplete', 'A_Accepted', 'A_Complete'}",{'End'},True,True,0.16709744930267334,8,42,15,11,26,0.9668752596618282,0.9363803554519161,0.9994232693311486,75.88596224784851,34.3135986328125,0.9668752596618282,0.9363803554519161,0.9994232693311486,"[0.9444572025130278, 0.9137737457883554, 0.9033281155794353, 0.9213149263584923, 0.9033274441214202, 0.9213142789603387, 0.871482785138731, 0.9338955874680365, 0.8712999500821489, 0.9337107301530833, 0.8848475516188976, 0.914749056169198, 0.8848457715322571, 0.9147473816750501, 0.9654694995945834, 0.9477635954342083, 0.9618376723067189, 0.9446986860910802, 0.922346466765929, 0.9325327019591599, 0.9182115508637441, 0.9295185719336465, 0.8566951364552257, 0.9051061809799499, 0.8566916063176456, 0.9051029845903047, 0.9390161277242429, 0.9392552395098256, 0.9355027085452624, 0.9362436822960044, 0.8646281090956479, 0.9351165336720425, 0.8607702312631844, 0.9320538553331273, 0.9215569940693884, 0.9336485580034688, 0.9181208929116403, 0.9306719304363793, 0.8949895579792474, 0.9253906406071342, 0.8916726422450395, 0.9224650494479469]","[0.9450979733252096, 0.9191056271017718, 0.9152525201079946, 0.9272390083472548, 0.9152520824843121, 0.9272385807698769, 0.9086642035173232, 0.9373581185776414, 0.9085244596068875, 0.937197481369645, 0.9019386219091563, 0.9218420285558202, 0.9019374690101922, 0.921840919718426, 0.9668752596618282, 0.9478033591548904, 0.9639038966105428, 0.9452222278663786, 0.9424669798747521, 0.9353708504327725, 0.9392223315012072, 0.9328707470047337, 0.8817388647877683, 0.9138900442269687, 0.8817366019392977, 0.9138879194063405, 0.9474009372428479, 0.9406531105110048, 0.94449556671587, 0.9381097404672664, 0.9079744495271242, 0.9373148836251335, 0.9051444754502093, 0.934749632816684, 0.9345523256701672, 0.9359300491246874, 0.9316900015229225, 0.9334114883395765, 0.9150579269415875, 0.9289571644112236, 0.9122618250524277, 0.9264749821343938]","[0.8957110649240849, 0.8416538740269152, 0.8617235825447798, 0.8645076588140738, 0.8617235825447798, 0.8645076588140738, 0.8361105509828723, 0.886332105621249, 0.8357785949009883, 0.8860042895381243, 0.8479785622278719, 0.8530189638047722, 0.8479785622278719, 0.8530189638047722, 0.9339790437267542, 0.901192188694233, 0.9272035988173969, 0.895666480360759, 0.8925786449623543, 0.8750770828600175, 0.8848643246982858, 0.8697871394749906, 0.8274307124754375, 0.8364025162455623, 0.8274307124754375, 0.8364025162455623, 0.9135820523867306, 0.8859331807630156, 0.9069553463351664, 0.8805929505994078, 0.8554824396480409, 0.8790677091526373, 0.8479669918038591, 0.8736799426879949, 0.8999379453998569, 0.8760112189131799, 0.8934107348501048, 0.8707899048012178, 0.8795409540598332, 0.8615862024952934, 0.8731624823678743, 0.8565353998512285]","[0.8965401573188416, 0.8506017089724357, 0.8691467352298373, 0.8712987720735162, 0.8691467352298373, 0.8712987720735162, 0.8787082594696285, 0.888949545491412, 0.8784500413665893, 0.8886640149560222, 0.8579614769595668, 0.8618176545315273, 0.8579614769595668, 0.8618176545315273, 0.9363803554519161, 0.9011025169984206, 0.9308214057594933, 0.8964481174980952, 0.9166100425029939, 0.8795769683428223, 0.910490479395115, 0.87516811037254, 0.8412402934996217, 0.8480226803580098, 0.8412402934996217, 0.8480226803580098, 0.9197592099923344, 0.8882657814645861, 0.9142991613212033, 0.8837428696194293, 0.8990968521095329, 0.8826428856755966, 0.8935673338604085, 0.8781108909697902, 0.9086408698845007, 0.8798811608826251, 0.9032469788193183, 0.8754431213152575, 0.8920197244249191, 0.8676378196918015, 0.8867247343810282, 0.863322275091321]","[0.9988144010872619, 0.9994116060664154, 0.9491538337458485, 0.9861129431479136, 0.9491523511230993, 0.9861114598164537, 0.9099801225221581, 0.9868533693429042, 0.9099747079725383, 0.9868469937815981, 0.9250683011770767, 0.9861105345946567, 0.9250644100010705, 0.9861066427099399, 0.9991575429424188, 0.9994106941571952, 0.9991595342818125, 0.9994102205961074, 0.9541683268155362, 0.9980633247424795, 0.954170674065319, 0.9980588899853793, 0.8881054954944434, 0.9861068383140885, 0.888097908037869, 0.9860992501488034, 0.9659069247004705, 0.9994069979178968, 0.96590559097804, 0.9994028282000487, 0.8739714380863353, 0.9987993767751333, 0.8739660235367155, 0.9987866260068764, 0.9442403105512496, 0.9994045893915321, 0.9442368101674042, 0.9993980112011023, 0.9109905550844597, 0.9994008931522337, 0.9109845925337248, 0.9993906188050435]","[0.9992168992284156, 0.9996100568142231, 0.9665238885414359, 0.9908551562524136, 0.9665229124873153, 0.9908541797317278, 0.9407346833783136, 0.9913426005729613, 0.9407311188212, 0.9913384033536166, 0.9506676747318166, 0.9908535706310326, 0.950665113056315, 0.9908510084889659, 0.9994232693311486, 0.9996094550165966, 0.999424626871146, 0.9996091417940689, 0.9698250766730578, 0.9987224436013201, 0.9698266219365604, 0.998719524070412, 0.9263339736507308, 0.9908511372609244, 0.9263289786051211, 0.9908461417487497, 0.976755589304662, 0.9996070216643749, 0.9767546800766567, 0.9996042751253976, 0.9170291083495179, 0.9992070082822729, 0.9170255437924043, 0.9991986140768659, 0.9619849804330265, 0.9996054360546489, 0.9619825941441341, 0.9996011039292554, 0.9393176946165885, 0.9996030027024272, 0.939313435828064, 0.9995962372605841]"
1,A_Incomplete,{'A_Validating'},"{'A_Denied', 'A_Cancelled', 'End', 'A_Pending'}",True,True,0.02563333511352539,8,18,11,8,19,0.9668756412156088,0.9363803554519161,0.9994240846809277,39.30836319923401,12.72994613647461,0.9668756412156088,0.9363803554519161,0.9994240846809277,"[0.9020261949030386, 0.9271424548519995, 0.8995450976347384, 0.9604172872242605, 0.9000607873570424, 0.9596577317554734, 0.8242776142879517, 0.8135630526217721, 0.8242822695007784, 0.813567845372788, 0.8670639136988464, 0.9020204644364828, 0.871362337448287, 0.9045330125212195, 0.8211015088008927, 0.8567015114290649, 0.8304942738845117, 0.8612606693494209]","[0.9482273768405688, 0.9394183747405901, 0.9472302431630469, 0.9668756412156088, 0.9424242976067563, 0.9631144704377165, 0.9194703506767231, 0.9007771543073686, 0.9194722406942902, 0.900778975240465, 0.9349357858549479, 0.948225071080998, 0.9363456442395475, 0.9492436070209522, 0.9183968561558541, 0.9176333755150801, 0.920470064064955, 0.9195527755526692]","[0.8949540780124124, 0.8646367429175755, 0.8841716117390762, 0.9243807510541486, 0.88516513429525, 0.92299947300997, 0.799689924450855, 0.7589466679923822, 0.799689924450855, 0.7589466679923822, 0.8615642045903713, 0.8949540780124124, 0.8700861532629879, 0.8999257604791939, 0.796756721903411, 0.8099381353786043, 0.8146358382862149, 0.8181393403614023]","[0.9342564974780904, 0.8862061868797166, 0.9299414307782927, 0.9363803554519161, 0.920720903582106, 0.9293609819342117, 0.9063497037799764, 0.856947421223038, 0.9063497037799764, 0.856947421223038, 0.9225168981075601, 0.9342564974780904, 0.9252631328284993, 0.9362405544758736, 0.9057139594427281, 0.8766672301082201, 0.909755389229305, 0.8801831264760182]","[0.9092109727993047, 0.9993896276538347, 0.9154626548435257, 0.999377536786955, 0.9154663525435776, 0.9993482943420375, 0.8504252389685508, 0.8766497516489543, 0.8504351495107566, 0.8766608814554236, 0.8726342875771781, 0.9091993286380181, 0.8726422707758215, 0.9091876818146004, 0.8469808878563251, 0.9091957199341049, 0.846982396749321, 0.9091804649186169]","[0.9626224407525366, 0.999429019589812, 0.9651740759304773, 0.9994240846809277, 0.9651755851533494, 0.9994121493248727, 0.932976456093124, 0.9493320225849603, 0.9329803480020165, 0.9493360676591659, 0.9476936014345615, 0.962617688167337, 0.947696859791328, 0.9626129344955837, 0.9314399998430197, 0.962615849487783, 0.9314401316875961, 0.9626092572267535]"
3,A_Pending,"{'A_Validating', 'A_Incomplete'}",{'End'},True,False,0.11928106844425201,8,22,13,9,22,0.9702121390018734,0.9424901365216704,0.9996143692751395,39.319648027420044,15.25279712677002,0.9702121390018734,0.9424901365216704,0.9996143692751395,"[0.8702066746789848, 0.9716290081252335, 0.8644040524788663, 0.9008943749608281, 0.8947850576791219, 0.9077469722337128, 0.8726322327384232, 0.9151466774340252, 0.9203994389810773, 0.918846596615228, 0.9604130515052925, 0.9414533983359576, 0.8471124256890975, 0.8970900480777806, 0.9218517245619651, 0.9318728414199436, 0.9465957536962247, 0.937984698355641, 0.8822570851081952, 0.9231054305428176, 0.9078642584435863, 0.9284742521804735]","[0.8932457162194336, 0.9702121390018734, 0.9264088664594153, 0.9389153699451748, 0.9396232738088063, 0.9441029958519876, 0.9403726546688557, 0.9428676234324983, 0.9543596069934626, 0.9364483781093542, 0.9668738892384031, 0.9478019460105207, 0.9189776180825584, 0.9360229858175736, 0.9473995596889012, 0.9406517186009995, 0.9598682205352598, 0.945215764800274, 0.9478061604551129, 0.9338313521357793, 0.9403895897511719, 0.9381043581214664]","[0.7703267271973827, 0.9449216656216809, 0.910276249830011, 0.9124182647523968, 0.9259363467120596, 0.9265822196397443, 0.8913628075736397, 0.9091298464685639, 0.8960849089758909, 0.8742140076232756, 0.9243807510541486, 0.8894875795478665, 0.9014790221759539, 0.9046498487568104, 0.9008728418405176, 0.8725419110220646, 0.9159250252973139, 0.8833170010169178, 0.9037361927697876, 0.8572992333974562, 0.8924171160836828, 0.8666034200344289]","[0.8073477017262144, 0.9424901365216704, 0.917890583720233, 0.919270680658967, 0.9288325429702964, 0.9292677867662311, 0.934167759720771, 0.9163766515394777, 0.9300367042716566, 0.8899379797892181, 0.9363803554519161, 0.9011025169984206, 0.9117371809630448, 0.913742559897178, 0.9197592099923344, 0.8882657814645861, 0.9303976449217014, 0.8964394712905297, 0.9463661940861638, 0.8761819313080925, 0.9137764994621197, 0.8837343110598446]","[0.9998458937709501, 0.999889979505277, 0.8229333860741472, 0.8896579491306666, 0.8656615930003421, 0.8896622219513594, 0.8546726434755421, 0.9212436805468158, 0.9460702811153155, 0.9682817714785253, 0.9993683641481509, 0.9998678766069187, 0.7989303568202045, 0.8896555488277413, 0.9438309858305747, 0.9998612036178118, 0.9793917326221663, 0.9998654763523765, 0.8617752633015237, 0.9998541259399384, 0.9238555795421846, 0.9998588033632697]","[0.9995982933091832, 0.9996143692751395, 0.9350867343118595, 0.9594180020228372, 0.9506676747318166, 0.9594195601168791, 0.9466605286299553, 0.9709358127319516, 0.979988890595856, 0.9880883624174891, 0.9994203408520379, 0.9996063113242813, 0.9263339736507308, 0.959417126746771, 0.9767526608255512, 0.9996038779720596, 0.9912668430608982, 0.9996054360546489, 0.9492505155331122, 0.9996012951888257, 0.9685993567458007, 0.9996030027024272]"
5,A_Submitted,{'A_Create Application'},{'A_Concept'},True,False,0.007487937808036804,3,4,17,13,30,0.9668756412156088,0.9363803554519161,0.9994240846809277,5.91637396812439,4.980015277862549,0.9668756412156088,0.9363803554519161,0.9994240846809277,"[0.9613061502804117, 0.9668756412156088, 0.9613061502804117, 0.9668756412156088]","[0.9613061502804117, 0.9668756412156088, 0.9613061502804117, 0.9668756412156088]","[0.9461874034128096, 0.9363803554519161, 0.9461874034128096, 0.9363803554519161]","[0.9461874034128096, 0.9363803554519161, 0.9461874034128096, 0.9363803554519161]","[0.9769158953257311, 0.9994240846809277, 0.9769158953257311, 0.9994240846809277]","[0.9769158953257311, 0.9994240846809277, 0.9769158953257311, 0.9994240846809277]"
9,A_Validating,{'A_Complete'},"{'A_Denied', 'A_Cancelled', 'A_Incomplete', 'End', 'A_Pending'}",True,True,0.01644754409790039,6,18,13,9,22,0.9719280475610576,0.9999836510925157,0.9454037413725249,38.30467343330383,12.618011474609375,0.9668756412156088,0.9363803554519161,0.9994240846809277,"[0.9317579812717868, 0.8741270653639434, 0.9500529222722144, 0.8741243224890917, 0.9500100058966333, 0.8798214983077349, 0.9311377785175666, 0.9317516556105724, 0.9311310542055686, 0.931731453266658, 0.9170703133964515, 0.8741232231585672, 0.9201871245181563, 0.8798217145725067, 0.9630241009367391, 0.9317592453511296, 0.9630169084512449, 0.9317390433838084]","[0.9394183747405901, 0.9167242650661929, 0.9719280475610576, 0.9167226295612926, 0.9718975804602265, 0.9195527755526692, 0.9423004300921962, 0.9394148750935148, 0.9422966821352103, 0.9394036983937465, 0.9477452855044206, 0.9167221099317343, 0.9492467769666603, 0.9195530912258933, 0.9668756412156088, 0.9394190740904854, 0.9668716952912894, 0.9394078975033973]","[0.8730304875051518, 0.8235070690018991, 0.9999727938042423, 0.8235070690018991, 0.9998597620078781, 0.8336796243096265, 0.8719623452384953, 0.8730304875051518, 0.8719623452384953, 0.8730304875051518, 0.9032040066283408, 0.8235070690018991, 0.9092522473046796, 0.8336796243096265, 0.9295949184083355, 0.8730304875051518, 0.9295949184083355, 0.8730304875051518]","[0.8862061868797166, 0.8750109587075898, 0.9999836510925157, 0.8750109587075898, 0.999910003497007, 0.8801831264760182, 0.8913612685837276, 0.8862061868797166, 0.8913612685837276, 0.8862061868797166, 0.9333336167065515, 0.8750109587075898, 0.9362405544758736, 0.8801831264760182, 0.9363803554519161, 0.8862061868797166, 0.9363803554519161, 0.8862061868797166]","[0.9989563232377536, 0.9313777432897029, 0.9048801904356067, 0.9313715154557697, 0.9048948894956261, 0.9313702814609034, 0.9989298168433999, 0.9989417813995595, 0.9989143387908526, 0.9988953404606461, 0.9313690193834813, 0.9313690193834813, 0.9313882139716604, 0.9313707661592172, 0.998947264655843, 0.9989592292120026, 0.9989317866032957, 0.9989127882730893]","[0.999429019589812, 0.9626137500626735, 0.9454037413725249, 0.9626101433822646, 0.9454119182453449, 0.9626092572267535, 0.9994145795105283, 0.9994210975279256, 0.9994061474204086, 0.9993957975632844, 0.9626089974774739, 0.9626089974774739, 0.9626194542514667, 0.9626099490810673, 0.9994240846809277, 0.999430602698325, 0.999415652590808, 0.9994053027336838]"
